ten_benh,trieu_chung_goc,symptoms_extract,negated_symptoms,duration,icd_code,icd_name,confidence
tiêu chảy cấp,"tiêu chảy cấp ở người lớn được chia làm 2 nhóm: nhóm 1 là tiêu chảy cấp xâm nhập có kèm theo sốt và phân có máu thường gặp trong các trường hợp viêm ruột xuất tiết hay do ký sinh trùng. nhóm 2 là tiêu chảy cấp không xâm nhập không kèm theo sốt và phân có máu, nhưng thường là do nhiễm virus, tính chất phân toàn nước, ít đau bụng. ngoài ra ở cả hai nhóm có thể có thêm các triệu chứng khác như: đau bụng: cơn đau nhói hay đau âm ỉ và đau tăng lên khi đi đại tiện. nôn: nôn ra thức ăn, nước và thậm chí là dịch mật.","đau nhói
đau âm ỉ
viêm ruột xuất tiết
tăng lên khi đi đại tiện
sốt
tiêu chảy
chảy cấp xâm nhập có kèm
nôn ra thức ăn
nôn
đau bụng","chảy cấp không xâm nhập không
sốt
tiêu chảy",không có,K90.1,Tiêu chảy nhiệt đới,0.6202
tiêu chảy nhiễm trùng,"các triệu chứng thông thường của tiêu chảy nhiễm trùng đường ruột là: đau bụng: khi tình hình nhiễm trùng đường ruột trở nên nghiêm trọng hơn, bệnh nhân thường thấy đau quặn bụng, đau khắp vùng bụng. mức độ nghiêm trọng của cơn đau sẽ phụ thuộc vào vị trí và nguyên nhân gây nhiễm trùng. tiêu chảy: khi mầm bệnh di chuyển ra xa hơn trong đường tiêu hóa, chúng có thể gây tiêu chảy. người bệnh có thể bi tiêu cha y mô t ca ch dư dô i, co thê đi đa i tiê n 20-50 lâ n nga y, cảm giác mót, đi xong lại muốn đi tiếp. phân lỏng co màu đục như nước vo gạo hoặc màu trong, mu i hôi tanh, kho chi u. co thắt: nhiễm trùng do vi khuẩn thường gây ra cơn co thắt ở bụng, mỗi cơn sẽ thường kéo dài 3-4 phút một lần và có thể trở nên nặng hơn gây khó chịu cho người bệnh. nôn và buồn nôn: ăn không ngon thường kèm theo buồn nôn, nôn ói khác thường. vi bi nôn va tiêu cha y cu ng mô t lu c nên bê nh nhân luôn trong tra ng tha i mê t mo i, kiệt sức, cơ thê gâ y go , hô c ha c va thân nhiê t ha thâ p. chán ăn: người bệnh cảm thấy khó chịu, miệng đắng, chán ăn là những dấu hiệu chung của nhiễm trùng đường ruột cũng như các loại nhiễm trùng đường tiêu hóa khác. thiếu nước trầm trọng: do bị nôn và đi ngoài nhiều lần nên cơ thể người bệnh bị mất nước cũng như chất điện giải. tình trạng cơ thể thiếu nước sẽ khiến bệnh nhân có biểu hiện bên ngoài như cổ họng khô rát và khát nước, môi khô, độ đàn hồi của da không bình thường, mắt trũng xuống do thiếu nước. nhiễm siêu vi đường hô hấp: mầm bệnh vi rút gây tiêu chảy nhiễm trùng có thể ảnh hưởng đến các bộ phận khác của cơ thể. người bệnh có thể bị nhiễm trùng xoang mũi, sổ mũi hoặc ho khi tình trạng nhiễm trùng xảy ra. các triệu chứng phụ đi kèm: rối loạn giấc ngủ: các triệu chứng khó chịu liên quan đến tiêu chảy nhiễm trùng đường ruột sẽ khiến người bệnh khó ngủ. đây cũng có thể là một dấu hiệu cho thấy gan đang làm việc quá sức vì phải cố gắng loại trừ các tác nhân gây nhiễm trùng. trầm cảm: những người bị nhiễm trùng nấm men có thể gặp nguy cơ cao mắc trầm cảm, cơ thể mệt mỏi gây tác động tiêu cực đến tâm lý. nghiến răng: trong một số ít trường hợp, những người bị nhiễm trùng sẽ nghiến răng trong khi ngủ, ngủ không yên giấc. nhức đầu: tình trạng mất nước hoặc xuất hiện các chất kích thích như nấm men trong hệ thống tiêu hóa sẽ làm tăng nguy cơ gây đau nhức, váng đầu liên tục. bỏng da: một số người bệnh có thể cảm giác ngứa hoặc nóng bỏng trên da.","đau bụng
đau quặn bụng
đau khắp vùng bụng
tiêu chảy
co thắt ở bụng
nôn
buồn nôn
mệt mỏi
sổ mũi
thiếu nước
khát nước
mỏi
rối loạn giấc ngủ
trầm cảm
nghiến răng
nhức đầu
ngứa
nóng bỏng trên da","buồn nôn thường
mất nước
không bị đau
không bị nôn
không bị mệt mỏi
không bị sổ mũi
không bị khát nước
không bị mỏi
không bị rối loạn giấc ngủ
không bị trầm cảm
không bị nghiến răng
không bị nhức đầu
không bị ngứa
không bị nóng bỏng trên da",liên tục,A08.5,Nhiễm trùng đường ruột xác định khác,0.5637
tiêu chảy rota,"sau khi bị lây nhiễm từ nguồn bệnh khoảng 1-2 ngày, trẻ biểu hiện các triệu chứng sau: nôn ói: xuất hiện đầu tiên, trước khi có tiêu chảy từ 6- 12 giờ, kéo dài trong 2- 3 ngày. trẻ nôn rất nhiều, sau đó bớt dần và tiếp theo đến tiêu chảy. tiêu chảy: đi phân lỏng toàn nước, màu xanh dưa cải, có thể nhầy và không có máu. tiêu chảy tăng dần những ngày sau đó, kéo dài trong khoảng thời gian 3- 9 ngày. có thể có sốt, đau bụng, ho, chảy mũi. dễ có dấu hiệu mất nước: khô môi, mắt trũng, khát nhiều, lì bì hay kích thích vật vã, quấy khóc,đánh giá dấu véo da mất nhanh mất chậm mất rất chậm,thóp trũng..trẻ rất dễ bị khô kiệt nếu không được điều trị kịp thời. nhiễm toan chuyển hóa: thở mạnh, sâu, môi đỏ. dấu hiệu hạ kali: chướng bụng, liệt ruột cơ năng, loạn nhịp tim, nhược cơ toàn thân. trẻ dễ bị sụt cân và suy dinh dưỡng do bị mất nước nặng.","nôn
tiêu chảy
đau bụng
sốt
chảy mũi
sụt cân
chướng bụng
nhẹ nhàng mất rất chậm",Không có,không có,K99.8,Tiêu chảy không xác định,0.5085
tiền mãn kinh,"các triệu chứng tiền mãn kinh có thể xuất hiện với mức độ nặng nhẹ khác nhau tùy từng người, có thể bao gồm: rối loạn kinh nguyệt: đây là triệu chứng dễ nhận thấy nhất. do sự thay đổi về hormone sinh dục, phụ nữ trong giai đoạn tiền mãn kinh có thể gặp phải một số vấn đề về kinh nguyệt như: khó có thể xác định thời gian rụng trứng. khoảng thời gian giữa các chu kỳ kinh nguyệt trở nên ngắn hoặc dài hơn bình thường. lượng máu bị mất thay đổi có thể mất kinh ở một vài chu kỳ. bốc hỏa hay nóng bừng: là dấu hiệu phổ biến nhất trong các triệu chứng tiền mãn kinh với khoảng 2 3 phụ nữ gặp phải hiện tượng này. bốc hỏa là cảm giác đột ngột nóng và đổ nhiều mồ hôi trong thời gian ngắn, thường xảy ra xung quanh mặt và phần trên của cơ thể. một số người còn gặp tình trạng bốc hỏa kèm theo tim đập nhanh. khi cơn bốc hỏa qua đi, sẽ có giảm giác ớn lạnh, mệt mỏi và uể oải. cơn bốc hoả có thể diễn ra trong khoảng thời gian từ 30 giây đến 30 phút, đa số là 2-3 phút. tần suất xuất hiện bốc hỏa cũng biến đổi tùy từng người, có người bốc hỏa mỗi giờ một cơn, có người chỉ thỉnh thoảng mới bốc hỏa, nhưng cũng có những người không trải qua triệu chứng này. đổ mồ hôi đêm: triệu chứng này cũng diễn ra tương tự như bốc hoả. nguyên nhân của hiện tượng này đến nay vẫn chưa được lý giải một cách rõ ràng. một số giả thuyết cho rằng những thay đổi ở vùng dưới đồi (vùng não giúp điều chỉnh nhiệt độ của cơ thể) khiến nó đọc thông tin sai lệch và cơ thể bắt đầu quá trình điều hoà nhiệt bằng cách làm giãn các mạch máu dưới da. điều này khiến cho cơ thể nóng lên và đổ mồ hôi, da chuyển sang màu đỏ. thay đổi vóc dáng cơ thể do chuyển hoá chậm và tăng cân: việc nồng độ hormone estrogen giảm khiến cơ thể có xu hướng làm chậm quá trình trao đổi chất và tích trữ nhiều chất béo hơn. do đó, nhiều phụ nữ có biểu hiện tăng cân trong giai đoạn này. các vấn đề liên quan đến âm đạo: lượng estrogen giảm sẽ khiến các mô âm đạo bị mất chất bôi trơn và độ đàn hồi. việc này làm cho âm đạo trở nên mỏng, khô, dễ rách, kém linh hoạt và dẫn tới một số hệ quả sau: có nguy cơ cao bị rách và chảy máu âm đạo khi giao hợp. các hoạt động tình dục diễn ra khó khăn hoặc gây đau đớn. ham muốn quan hệ tình dục trở nên suy giảm rõ nét. dễ nhiễm trùng đường tiết niệu. tiểu tiện bị rối loạn: tiểu són, tiểu không tự chủ. các vấn đề về tâm lý: sự thay đổi nồng độ estrogen cũng tác động đến não và thần kinh. điều này ảnh hưởng tới tâm trạng và giấc ngủ. theo ước tính, có khoảng 1 4 phụ nữ trải qua thời kỳ tiền mãn kinh với các triệu chứng trầm cảm, lo âu, mất ngủ, và tính khí thay đổi thất thường. thay đổi về da và tóc: trong giai đoạn này, da người phụ nữ trở nên khô ráp hơn, giảm tính đàn hồi, dễ bị nhăn vùng quanh mắt. những vết đốm đồi mồi, nám, tàn nhang bắt đầu xuất hiện rõ nét. tóc mất dần sắc tố và chuyển màu, rụng nhiều hơn. móng tay trở nên giòn, bề mặt móng gồ ghề và dễ gãy.","rối loạn kinh nguyệt
lượng máu mất thay đổi
bốc hỏa
đổ mồ hôi
đổ mồ hôi đêm
thay đổi vóc dáng cơ thể
tăng cân
nhiễm trùng đường tiết niệu
tiểu tiện bị rối loạn
móng tay giòn
mất ngủ
ám ảnh
giảm giác ớn lạnh
mệt mỏi
giảm tính đàn hồi
rát và chảy máu âm đạo
suy giảm rõ nét
giảm sắc tố và chuyển màu",Không có,không có,N92.4,Chảy máu nặng lúc tiền mãn kinh,0.6221
tiểu đường thai kỳ,"hầu như tiểu đường thai kỳ không có triệu chứng gì đặc biệt vậy xét nghiệm tiểu đường thai kỳ khi nào ? nếu người mẹ có nguy cơ cao mắc tiểu đường thai kỳ (xem phần nguy cơ phía dưới), xét nghiệm tiểu đường thai kỳ nên được thực hiện ngay khi chẩn đoán có thai nếu người mẹ nguy cơ trung bình, thấp, xét nghiệm tiểu đường nên được thực hiện vào khoảng tuần 24-28 của thai kỳ",Không có,tiểu đường thai kỳ không có,không có,O24,Đái tháo đường trong khi có thai,0.7096
tiểu đường tuýp 1,"tiểu đường tuýp 1 thường khởi phát nhanh, rầm rộ. triệu chứng tiểu đường tuýp 1 bao gồm: những triệu chứng kinh điển của tiểu đường: ăn nhiều uống nhiều (hay khát nước) tiểu nhiều (do đường trong nước tiểu cao, gây lợi niệu thẩm thấu) gầy nhiều (gầy sút cân) triệu chứng khi có biến chứng: biến chứng cấp tính hôn mê nhiễm toan ceton: yếu, mệt mỏi, khát nước, khô da, chuột rút, mạch nhanh, tụt huyết áp (dấu hiệu mất nước), rối loạn ý thức (lơ mơ, ngủ gà, hôn mê), buồn nôn, thở nhanh, hơi thở mùi táo thối. biến chứng này cần phải điều trị cấp cứu. biến chứng mạn tính nhìn mờ (do biến chứng võng mạc, đục thủy tinh thể) đau ngực thường không điển hình (do biến chứng mạch vành) tê bì dị cảm ở bàn chân (biến chứng thần kinh) loét, nhiễm trùng bàn chân đầy bụng, chậm tiêu, nuốt khó (biến chứng thần kinh tự động gây liệt dạ dày, thực quản)","tiểu nhiều
khát nước
gầy nhiều
chuột rút
mạch nhanh
thuốc nhanh
nhiễm trùng bàn chân
bụng đầy
nuốt khó
mất nước",đau ngực thường không điển hình,không có,C85.0,Tiểu đường tuýp 1,0.485
tiểu đường tuýp 2,"tiểu đường tuýp 2 thường khởi phát từ từ. đa phần là tình cờ phát hiện. hoặc bệnh nhân có thể đi khám vì một số triệu chứng bao gồm: những triệu chứng kinh điển của tiểu đường: ăn nhiều uống nhiều (hay khát nước) tiểu nhiều (do đường trong nước tiểu cao, gây lợi niệu thẩm thấu) gầy nhiều (gầy sút cân): bệnh nhân tiểu đường tuýp 2 thường có thể trạng béo, nhưng khi có triệu chứng tăng đường huyết không kiểm soát, hoặc tiểu đường mới phát hiện, họ có thể có giai đoạn sụt cân không rõ lí do, ngoài ý muốn. triệu chứng khi có biến chứng: biến chứng cấp tính hôn mê tăng áp lực thẩm thấu: là biến chứng cấp tính, thường găp ở tiểu đường tuýp 2 (tuýp 1 hay gặp nhiễm toan ceton). biểu hiện yếu, mệt mỏi, khát nước, khô da, chuột rút, mạch nhanh, tụt huyết áp (dấu hiệu mất nước), rối loạn ý thức (lơ mơ, ngủ gà, hôn mê).tình trạng này tiến triển từ từ trong vài ngày đến vài tuần. biến chứng này cần phải điều trị cấp cứu. biến chứng mạn tính nhìn mờ (do biến chứng võng mạc, đục thủy tinh thể) đau ngực thường không điển hình (do biến chứng mạch vành) tê bì dị cảm ở bàn chân (biến chứng thần kinh) loét, nhiễm trùng bàn chân đầy bụng, chậm tiêu, nuốt khó (biến chứng thần kinh tự động gây liệt dạ dày, thực quản) đau cách hồi chi dưới (đau khi đi lại, đỡ khi nghỉ, do biến chứng mạch máu). ngoài đau chân còn có, teo cơ, da khô, chi lạnh, mạch bắt yếu. nặng hơn có thể gây ra hoại tử khô các ngón chân, nguy cơ phải tháo ngón, cắt cụt.","rối loạn ý thức
đau ngực thường không điển hình
đau khi đi lại
tiểu nhiều
mất nước
tăng áp lực thẩm thấu
nhiễm trùng bàn chân
đầy bụng
mệt mỏi
hôn mê
teo cơ
tiểu đường tuýp 2 thường khởi
nhiễm toan ceton
chậm tiêu
đau chân còn có
đau cách hồi chi dưới","tăng đường huyết không kiểm soát
sụt cân",kéo dài từ vài ngày đến vài tuần,E11.9,Tiểu đường tuýp 2,0.49
tràn khí màng phổi tự phát,"các triệu chứng của tràn khí màng phổi tự phát khởi phát đột ngột, bao gồm đau ngực dữ dội, đau nhiều hơn khi hít thở, đôi khi triệu chứng đau ngực xuất hiện sau khi làm việc gắng sức hoặc ho khạc; bệnh nhân đột nhiên cảm thấy khó thở, mức độ tràn khí càng nhiều thì càng khó thở. khi bệnh nhân vật vã, tím tái, thở nhanh, thở nông, huyết áp tụt, mạch nhanh chứng tỏ bệnh đã trở nên nặng hơn.","đau ngực dữ dội
khó thở
nhanh chứng tỏ bệnh đã trở
ho",Không có,đột ngột,J93.1,Các dạng tràn khí màng phổi tự phát khác,0.8912
trào ngược dạ dày thực quản,"các phổ biến của trào ngược dạ dày thực quản bao gồm: cảm giác nóng rát ở ngực (ợ nóng), thường là sau khi ăn, tình trạng này có thể nặng hơn vào ban đêm đau ngực khó nuốt thức ăn trong dạ dày bị chua cảm giác có khối u chặn ở trong cổ họng nếu bạn bị trào ngược axit vào ban đêm, người bệnh cũng có thể gặp phải một số tình trạng khác như: ho mãn tính viêm thanh quản hen suyễn giấc ngủ bị gián đoạn nếu bị đau ngực, đặc biệt kèm theo khó thở, hoặc đau quai hàm hoặc cánh tay. đây có thể là triệu chứng của một cơn đau tim, do đó, người bệnh cần đến cơ sở y tế ngay lập tức. đi khám bác sĩ nếu như các triệu chứng của trào ngược dạ dày thực quản càng nghiêm trọng hoặc xảy ra thường xuyên hơn","cảm giác nóng rát ở ngực
đau ngực
khó nuốt thức ăn
khó thở
đau quai hàm hoặc cánh tay
ho
đau tim
viêm thanh quản hen suyễn giấc",Không có,"thường xuyên, ban đêm",K21,Bệnh trào ngược dạ dày thực quản,0.9474
trào ngược dạ dày thực quản ở trẻ em,"trào ngược dạ dày thực quản ở trẻ em thường xuất hiện với các triệu chứng sau: trẻ ói hoặc ọc sữa ra nhiều, qua đường miệng hoặc cả mũi. trẻ thường xuyên quấy khóc, biếng ăn, đêm ngủ không tròn giấc. chậm tăng cân, nặng hơn là suy dinh dưỡng, thiếu máu kéo dài với những trẻ lớn hơn, có thể đau phía sau xương ức, kèm ợ nóng khó chịu. khi có biến chứng ở đường hô hấp sẽ có các biểu hiện như ho, khò khè, có khi thở tím tái. trẻ có thể phải nhập viện vì viêm phổi hay các cơn ngừng thở, đe dọa trực tiếp tới tính mạng của trẻ nếu không phát hiện kịp thời. một số dấu hiệu trào ngược dạ dày thực quản ở trẻ là bệnh lý: trẻ sơ sinh và trẻ nhỏ: bỏ bú, quấy khóc nhiều, nôn mạnh thành vòi, ho, khò khè thường xuyên, không tăng cân. trẻ lớn: buồn nôn, nôn, ợ nóng, cảm nhận được vị chua ở cổ họng, nóng rát phía sau xương ức, đôi khi đau bụng hoặc đau khi nuốt. trẻ có thể gặp triệu chứng đau bụng vào ban đêm, làm trẻ thức giấc, đau kéo dài từ vài phút đến vài giờ.","ói hoặc ọc sữa
quấy khóc
biếng ăn
đêm ngủ không tròn giấc
chậm tăng cân
suy dinh dưỡng
thiếu máu
đau phía sau xương ức
ợ nóng
thở tím tái
nôn
buồn nôn
đau bụng
đau khi nuốt
đau bụng vào ban đêm",tăng cân,"kéo dài từ vài phút, thường xuyên, đôi khi, ban đêm",K21,Bệnh trào ngược dạ dày thực quản,0.8181
trầm cảm,"bệnh trầm cảm biểu hiện bằng các triệu chứng sau đây: khí sắc trầm buồn: khí sắc trầm buồn được biểu hiện qua nét mặt của bệnh nhân: buồn bã, rầu rĩ, ủ rũ nét mắt rất đơn điệu, giảm hoặc mất các nếp nhăn. tình trạng khí sắc giảm rất bền vững do bệnh nhân buồn bã, chán nản, bi quan, mất hết niềm tin trong cuộc sống. mất hứng thú hoặc các sở thích trước đây: cảm giác nặng nề, mệt mỏi không muốn làm việc, đi đứng chậm chạp, luôn luôn cảm thấy mình không có đủ sức khỏe để làm việc dù là việc nhẹ, không quan tâm đến xung quanh kể cả con cái đang vui chơi cũng không để ý quan tâm. bệnh nhân tự cho rằng họ đã mất hết các sở thích vốn có trước đây kể cả ham muốn tình dục. nam nữ có biểu hiện suy giảm tình dục như lãnh cảm ở nữ hoặc rối loạn cương dương ở nam giới rối loạn giấc ngủ: mất ngủ là triệu chứng hay gặp nhất chiếm 95 số trường hợp bệnh nhân trầm cảm. bệnh nhân cảm thấy trằn trọc khó đi vào giấc ngủ mặc dù đôi khi cảm thấy rất buồn ngủ nhưng lại không thể ngủ, thức dậy sớm hơn bình thường. bệnh nhân được coi là mất ngủ khi ngủ ít hơn 2 tiếng mỗi ngày so với bình thường. bệnh nhân có thể thức trắng cả ngày lẫn đêm trong nhiều ngày dẫn đến suy nhược cơ thể. mất cảm giác ngon miệng, gầy sút cân, một số ít có biểu hiện tăng cân: bệnh nhân trầm cảm mất cảm giác ngon miệng, không muốn ăn thậm chí có trường hợp nhịn ăn hoàn toàn dẫn đến gầy sút cân. một số ít trường hợp có cảm giác thèm ăn, ăn nhiều hơn bình thường dẫn đến tăng cân mệt mỏi, giảm tập trung, giảm sút năng lượng: hay than phiền mệt mỏi mà không có một nguyên nhân nào, giảm khả năng tập trung vì vậy hiệu quả công việc giảm sút. cảm giác mệt mỏi thường nặng hơn vào buổi sáng. không còn hứng thú với việc gì. bệnh nhân mệt mỏi không muốn làm gì đối với những trường hợp nặng còn không thể thực hiện được các công việc hàng ngày như: đi ra chợ, nấu cơm, giặt quần áo cảm giác vô dụng, tội lỗi: luôn có ý nghĩ tiêu cực về bản thân, cảm giác tuyệt vọng không có lối thoát, không còn niềm tin vào bản thân và tương lai. tự cảm thấy có lỗi với người thân, thua kém người khác, trở nên vô dụng. biểu hiện sinh lý : nhức đầu, mỏi vai gáy, hồi hộp trống ngực, đau nhức tay chân cảm giác lo lắng vô cớ, ám ảnh bệnh tật vô lý, dễ nổi giận với những người xung quanh, có những cơn sợ hãi, ngại giao tiếp, ít quan tâm đến người khác, đòi hỏi cao về những người khác hình thức bên ngoài: ăn mặc lôi thôi lếch thếch, vệ sinh thân thể kém, cử chỉ chậm chạp hoặc giận dữ vô cớ, giọng nói trầm buồn đơn điệu gợi ý về bệnh trầm cảm. có ý định và hành vi tự sát: hầu hết bệnh nhân trầm cảm đều có ý nghĩ về cái chết nặng hơn là có ý định tự sát. cảm giác tuyệt vọng không có lối thoát. họ bị ám ảnh về bệnh tật, chán nản, dễ bị tổn thương dần dần tự nghĩ rằng chết đi cho đỡ đau khổ.","khí sắc trầm buồn
buồn bã
rầu rĩ
ủ rũ
nét mắt rất đơn điệu
giảm hoặc mất các nếp nhăn
chán nản
bi quan
mất hứng thú
cảm giác nặng nề
mệt mỏi
chưa đi đứng chậm chạp
không quan tâm đến xung quanh
không quan tâm đến con cái
mất cảm giác ngon miệng
gầy sút cân
thua kém người khác
suy giảm tình dục
rối loạn cương dương
rối loạn giấc ngủ
mất ngủ
thức trắng cả ngày lẫn đêm",Không có,không có,F32,Giai đoạn trầm cảm (trầm cảm),0.7117
trầm cảm sau sinh,"các dấu hiệu bệnh trầm cảm sau sinh có thể tồn tại tại một thời điểm nhất định trong ngày hoặc tồn tại dai dẳng cả ngày kéo dài trong một thời gian dài. các dấu hiệu này bao gồm: cảm thấy buồn rầu, chán nản thậm chí không biết lý do vì sao buồn, luôn trong tình trạng vô vọng, trống rỗng, cảm thấy quá sức về tất cả mọi việc kể cả việc nhẹ biểu hiện của sự buồn rầu, chán nản là khóc thường xuyên, thường khóc một mình, khóc nhiều hơn bình thường thậm chí không biết vì sao lại khóc luôn cảm thấy sợ hãi hay cáu kính: tính khí thất thường, luôn khó chịu và không bằng lòng với tất cả mọi thứ dễ cáu giận, mất kiểm soát mất ngủ: mất ngủ thường xuyên, không thể yên tâm ngủ ngon, ngủ không sâu giấc, dễ thức giấc, có trường hợp lại ngủ quá nhiều giảm khả năng tập trung, khó khăn trong việc đưa ra các quyết định mất quan tâm thích thú: không quan tâm đến bản thân, không còn các sở thích như trước kia ăn rất ít, không muốn ăn, cảm giác không ngon miệng, có trường hợp lại ăn nhiều đau đớn về thể chất và tinh thần, cảm thấy đau mỏi người, nhức đầu, mệt mỏi ngại tiếp xúc với mọi người, xa lánh người thân bạn bè, không muốn gần gũi với con có ý định và hành vi tự sát thậm chí muốn giết chết con mình.","cảm thấy buồn rầu
chán nản
tình trạng vô vọng
trống rỗng
cảm thấy quá sức
biểu hiện buồn rầu
khóc thường xuyên
khóc một mình
sợ hãi
cảm thấy cáu kính
thất thường
khó chịu
không bằng lòng
mất ngủ thường xuyên
không yên tâm ngủ ngon
không sâu giấc
được thức giấc
nghỉ quá nhiều
giảm khả năng tập trung
mất quan tâm thích thú
không quan tâm đến bản thân
không còn sở thích
ăn rất ít
không muốn ăn
cảm giác không ngon miệng
ăn nhiều
đau mỏi người
nhức đầu
mệt mỏi
ngại tiếp xúc mọi người
xa lánh người thân bạn bè
không muốn gần gũi con
ý định tự sát
hành vi tự sát","khó chịu và không bằng lòng
cảm giác không ngon miệng",thường xuyên,F13.1,Trầm cảm sau sinh,0.562
tê bì tay chân,"đau mỏi cổ vai gáy lan xuống nửa người kèm theo triệu chứng tê bì một bên tê dị cảm mặt trong cánh tay lan xuống ngón 4 5 chẳng hạn , khi nằm lâu để tay chân ở vị trí cố định trong 1 khoảng thời gian nào đó, râm ran như kiến bò tê kiểu châm chích, nóng bỏng tứ chi kiểu của bệnh lý viêm đa dây thần kinh trong tiểu đường, bệnh lý tổn thương đa rễ nhiều rễ -dây thần kinh tay chân mất cảm giác: tình trạng tê kéo dài sẽ khiến tay, chân bị mất cảm giác, thường gặp nhất về đêm. tê buốt lan dọc cánh tay, cẳng chân: tê buốt lan đến hết cánh tay, cổ chân, cẳng chân và gây hạn chế vận động những bệnh lý tê đau của hội chứng ống cổ tay dị cảm trong hội chứng hạ canxi máu tiềm ẩn tê yếu kiểu trung ương kèm theo thay đổi cảm giác, phản xạ và có tổn thương thần kinh sọ chuột rút ở tay chân: co thắt cơ đột ngột gây đau nhức âm ỉ bắp tay, bắp chân. khi người bệnh có triệu chứng tê ở chân kèm những dấu hiệu dưới đây thì cần đi khám bác sĩ ngay lập tức: bị tê chân kéo dài trong thời gian dài liên tục khoảng trên 6 tuần tê chân đi kèm với bất kỳ triệu chứng mãn tính khác bị tê chân kèm thay đổi về màu sắc, hình dạng hoặc nhiệt độ của chân và bàn chân hay quên, dễ nhầm lẫn chóng mặt","tê buốt lan dọc cánh tay
tê đau hội chứng ống cổ
co thắt cơ đột ngột
tê kéo dài tay chân
tê chân đi kèm
thay đổi về màu sắc chân
nhầm lẫn
chóng mặt
mất cảm giác
buốt lan dọc cánh tay
yếu kiểu trung ương
đau nhức âm ỉ bắp tay
buốt lan đến hết cánh tay
tê kiểu châm chích
tiểu đường
tê chân kéo dài
thay đổi về nhiệt độ chân
tê chân kéo dài liên tục
tê chân kèm thay đổi
tê kiểu trung tâm
tê kiểu trung ương",Không có,không có,G82,Liệt hai chân và liệt tứ chi,0.6024
túi thừa thực quản,"thông thươ ng tu i thư a thư c qua n tiê n triê n châ m qua nhiê u năm (5-10 năm). ca c triê u trư ng thươ ng gă p va tăng dâ n la : thê tra ng suy su p kho nuô t nôn ho khan đau ngư c hoặc có cảm giác khó chịu sau xương ức hơi thơ co mu i hôi nghe có tiếng óc ách khi túi thừa ứ đọng thức ăn viêm họng, chảy nhiều nước bọt tra o ngươ c gây ra bơ i tu i thư a, thươ ng xa y ra vào ban đêm hoặc khi nă m, dâ n đê n khó thơ , viêm phô i va a p xe phô i ca c triê u trư ng xâ u đi khi nuô t nghe n, thậm chí co viêm, vơ va thu ng tu i thư a thư c qua n là biê n chư ng nguy hiê m va câ n được can thiê p ngoa i khoa ngay.","tăng dâ n la
đau ngư c hoặc có cảm
u trư ng xâ u đi
khó chịu sau xương ức hơi
chảy nhiều nước bọt tra o
viêm phô i va a p
suy su p kho nuô t
khó thơ
nôn
ho
u trư ng thươ ng gă
u năm",Không có,"5-10 năm, ban đêm",Q39.6,Túi thừa thực quản,1.0
tăng acid uric máu,"khi tăng acid uric có triệu chứng, chúng thường biểu hiện ra thành cơn gút cấp (gout) trên lâm sàng. lâu dài sẽ có tổn thương do gút mạn, tăng acid uric mạn tính cơn gút cấp: kinh điển thường xuất hiện sau một bữa ăn nhiều đạm, thường khởi phát vào nửa đêm. đau dữ dội ở một khớp (hay gặp nhất là ngón chân cái). đáp ứng tốt với colchicine. biểu hiện của gút mạn và tăng acid uric mạn tính: hạt tophi: do lắng đọng muối urat trong các mô liên kết. thường gặp ở vành tai, mỏm khuỷu, cạnh các khớp, có thể nhìn thấy màu trắng bên trong. khi hạt tophi vỡ sẽ chảy ra chất nhão trắng như phấn sưng đau biến dạng các khớp do lắng đọng acid uric tại khớp sỏi thận: sỏi uric, biểu hiện bằng cơn đau quặn thận, đau ở hông lưng lan xuống bẹn, cơ quan sinh dục, có thể tiểu máu","cơn gút cấp
đau dữ dội ở một khớp
tiểu máu
sưng đau biến dạng các khớp
đau ở hông lưng lan xuống
đau quặn thận
đau biến dạng các khớp
tăng acid uric mạn tính
tăng acid uric có triệu chứng",Không có,không có,D59.3,Hội chứng tan máu urê máu cao,0.5666
tăng huyết áp nguyên phát,"tăng huyết áp nguyên phát thường không biểu hiện triệu chứng trên lâm sàng, kể cả đối với tăng huyết áp ở mức độ cao. thường thì khi người bệnh đi khám sức khỏe định kỳ mới phát hiện ra bệnh thông qua dấu hiệu thay đổi huyết áp. một số trường hợp tăng huyết áp nguyên phát có thể xuất hiện dấu hiệu như: đau đầu âm ỉ. chóng mặt. tức ngực. chảy máu cam nhiều hơn bình thường. tiểu máu. thay đổi thị giác.","đau đầu âm ỉ
chóng mặt
ít ngực
tiểu máu
thay đổi thị giác",tăng huyết áp nguyên phát thường,không có,D68.5,Bệnh tăng đông máu nguyên phát,0.7992
tăng huyết áp thai kỳ,"thường tăng huyết áp thai kỳ đơn thuần không có nhiều triệu chứng, đa phần tình cờ phát hiện ra. bệnh nhân thường có triệu chứng trong trường hợp tiền sản giật: đau đầu kéo dài, dữ dội rối loạn thị lực (nhìn đôi, nhìn mờ, mất thị lực thoáng qua ) đau vùng thượng vị thay đổi ý thức khó thở, đau ngực sau xương ức khi có các triệu chứng này thì bệnh tương đối nặng, cần xử trí khẩn cấp, có thể phải chấm dứt thai kỳ.","rối loạn thị lực
đau vùng thượng vị thay đổi
khó thở
đau ngực sau xương ức khi
mất thị lực thoáng qua
đau đầu kéo dài",tăng huyết áp thai kỳ đơn,không có,I10,Bệnh lý tăng huyết áp,0.617
